timestamp,X,Y,Z
2025-04-13T15:40:43.348637,-128,36,3
2025-04-13T15:40:43.349665,-124,36,4
2025-04-13T15:40:43.351131,-125,35,5
2025-04-13T15:40:43.358052,-123,36,3
2025-04-13T15:40:43.370177,-123,34,5
2025-04-13T15:40:43.377825,-125,35,7
2025-04-13T15:40:43.387801,-125,35,7
2025-04-13T15:40:43.404609,-125,33,7
2025-04-13T15:40:43.407841,-125,33,7
2025-04-13T15:40:43.421460,-125,35,4
2025-04-13T15:40:43.427604,-124,34,4
2025-04-13T15:40:43.437590,-125,36,3
2025-04-13T15:40:43.447974,-125,36,4
2025-04-13T15:40:43.457845,-126,35,4
2025-04-13T15:40:43.472614,-126,34,3
2025-04-13T15:40:43.477641,-126,34,4
2025-04-13T15:40:43.487892,-125,34,4
2025-04-13T15:40:43.503878,-125,35,4
2025-04-13T15:40:43.507820,-124,32,5
2025-04-13T15:40:43.523935,-124,32,7
2025-04-13T15:40:43.527582,-124,33,3
2025-04-13T15:40:43.537883,-124,35,4
2025-04-13T15:40:43.547806,-123,35,7
2025-04-13T15:40:43.557792,-123,36,2
2025-04-13T15:40:43.567860,-123,36,2
2025-04-13T15:40:43.577940,-121,33,7
2025-04-13T15:40:43.587992,-122,32,9
2025-04-13T15:40:43.597876,-124,34,12
2025-04-13T15:40:43.608919,-124,39,10
2025-04-13T15:40:43.626652,-125,42,7
2025-04-13T15:40:43.629216,-123,47,6
2025-04-13T15:40:43.637836,-118,48,8
2025-04-13T15:40:43.647946,-120,48,9
2025-04-13T15:40:43.658029,-120,46,11
2025-04-13T15:40:43.667997,-122,44,12
2025-04-13T15:40:43.677956,-122,44,12
2025-04-13T15:40:43.687953,-123,41,11
2025-04-13T15:40:43.697924,-123,41,11
2025-04-13T15:40:43.709277,-123,40,12
2025-04-13T15:40:43.731505,-124,38,12
2025-04-13T15:40:43.732601,-125,37,6
2025-04-13T15:40:43.737909,-123,35,7
2025-04-13T15:40:43.747871,-122,33,5
2025-04-13T15:40:43.757865,-121,30,7
2025-04-13T15:40:43.767887,-121,29,6
2025-04-13T15:40:43.779744,-121,29,6
2025-04-13T15:40:43.787901,-122,23,11
2025-04-13T15:40:43.797930,-125,17,14
2025-04-13T15:40:43.809081,-126,15,16
2025-04-13T15:40:43.817860,-126,19,11
2025-04-13T15:40:43.831169,-126,26,5
2025-04-13T15:40:43.837785,-123,32,0
2025-04-13T15:40:43.847988,-121,37,-1
2025-04-13T15:40:43.857976,-121,39,-1
2025-04-13T15:40:43.868191,-119,40,-2
2025-04-13T15:40:43.882127,-119,40,-2
2025-04-13T15:40:43.889413,-115,42,1
2025-04-13T15:40:43.897907,-117,43,9
2025-04-13T15:40:43.911574,-122,42,17
2025-04-13T15:40:43.917952,-126,45,23
2025-04-13T15:40:43.934016,-126,46,21
2025-04-13T15:40:43.985648,-123,48,17
2025-04-13T15:40:43.986763,-120,49,12
2025-04-13T15:40:43.987820,-121,45,11
2025-04-13T15:40:43.989383,-121,45,11
2025-04-13T15:40:43.993861,-122,38,12
2025-04-13T15:40:43.995088,-125,35,15
2025-04-13T15:40:43.997844,-123,33,16
2025-04-13T15:40:44.007893,-121,34,9
2025-04-13T15:40:44.018096,-118,38,6
